Nome,Saldo
Abdul Pouros MD,81.0
Abdul Raynor,916.0
Abdul Reichel,762.0
Abdul Ritchie,37.0
Abdul Ruecker,444.0
Abdul Sawayn,843.0
Abdul Schiller,279.0
Abdul Schneider JD,-18.0
Abdul Senger,-49.0
Abdul Shanahan,371.0
Abdul Stiedemann,565.0
Abdul Strosin,-43.0
Abdul Turner,384.0
Abdul Watsica,626.0
Abdul Wiegand,235.0
Abdul Ziemann,27.0
Abe Bartoletti,387.0
Abe Baumbach DDS,147.0
Abe Bednar,79.0
Abe Block,517.0
Abe Casper,648.0
Abe Crona,42.0
Abe Grant,742.0
Abe Greenholt,256.0
Abe Hand Ret.,3.0
Abe Hettinger,-72.0
Abe Hodkiewicz,592.0
Abe Hoeger V,536.0
Abe Huel,671.0
Abe Koss,302.0
Abe Kris,846.0
Abe Kuvalis,207.0
Abe Lynch,323.0
Abe MacGyver IV,843.0
Abe Mante,-158.0
Abe McCullough,667.0
Abe Murray,165.0
Abe Pfeffer,698.0
Abe Reichel,230.0
Abe Rice,605.0
Abe Ritchie,240.0
Abe Sawayn,498.0
Abe Schinner,715.0
Abe Schmitt,5.0
Abe Smith,310.0
Abe Stanton,748.0
Abe Toy,830.0
Abe Ullrich,22.0
Abe Wiza,17.0
Abel Bartell,938.0
Abel Beatty,866.0
Abel Bechtelar,551.0
Abel Beer,787.0
Abel Beier,554.0
Abel Bergstrom Jr.,148.0
Abel Braun,747.0
Abel Crona LLD,21.0
Abel Douglas,373.0
Abel Fay,538.0
Abel Feil,-68.0
Abel Funk,-52.0
Abel Gleichner,-113.0
Abel Gleichner,-12.0
Abel Grant,-99.0
Abel Greenholt JD,11.0
Abel Haley MD,821.0
Abel Hickle,70.0
Abel Hyatt VM,363.0
Abel Keebler DVM,675.0
Abel Kunze,417.0
Abel Larkin,-160.0
Abel Lueilwitz,171.0
Abel Metz,621.0
Abel Moore,745.0
Abel Morar,26.0
Abel Muller,763.0
Abel Olson,159.0
Abel Pollich LLD,787.0
Abel Robel,304.0
Abel Runolfsson V,420.0
Abel Sauer,173.0
Abel Schaden DVM,344.0
Abel Schmeler,563.0
Abel Schultz,13.0
Abel Schuster,-22.0
Abel Turner,830.0
Abel Waelchi,-29.0
Abel Weissnat,387.0
Abel Wiegand DO,875.0
Abigail Bergstrom,831.0
Abigail Brown,383.0
Abigail Flatley Jr.,672.0
Abigail Hartmann,134.0
Abigail Hoeger,214.0
Abigail Kertzmann,68.0
Abigail Veum,129.0
Abigail West,378.0
Abraham Abshire,812.0
Abraham Bergnaum DVM,407.0
Abraham Borer,52.0
Abraham Cartwright,470.0
Abraham Champlin,576.0
Abraham Crooks,886.0
Abraham Dickinson,-74.0
Abraham Ernser,47.0
Abraham Ernser,321.0
Abraham Greenfelder,651.0
Abraham Jacobi,633.0
Abraham Jacobson,125.0
Abraham Jakubowski,630.0
Abraham Kirlin,144.0
Abraham Kris,848.0
Abraham McGlynn,61.0
Abraham Medhurst V,515.0
Abraham Pollich,437.0
Abraham Renner,781.0
Abraham Rosenbaum,79.0
Abraham Runolfsson,59.0
Abraham Runte,826.0
Abraham Torphy,737.0
Abraham Upton,281.0
Abraham Weber DC,-18.0
Abraham Wolff,348.0
Abraham Yundt,506.0
Abraham Ziemann,7.0
Abram Beahan II,155.0
Abram Brown,784.0
Abram Bruen,66.0
Abram Bruen V,424.0
Abram Connelly,898.0
Abram Daniel,236.0
Abram Davis,654.0
Abram Dickens,721.0
Abram Funk,391.0
Abram Hane,667.0
Abram Heidenreich JD,255.0
Abram Hessel,531.0
Abram Johns,646.0
Abram Kautzer PhD,234.0
Abram Kirlin,474.0
Abram Klein,439.0
Abram Luettgen,2.0
Abram Lynch,574.0
Abram Miller,905.0
Abram Mohr DDS,-8.0
Abram Morissette,461.0
Abram Price,721.0
Abram Roberts,209.0
Abram Schuppe,466.0
Abram Schuster,14.0
Abram Streich Sr.,463.0
Abram Strosin,600.0
Abram Volkman,770.0
Abram Ward,683.0
Ada Bernier,819.0
Ada Crooks,21.0
Ada Hammes,150.0
Ada Kihn PhD,553.0
Ada Legros CPA,180.0
Ada Marvin,201.0
Ada Stokes,568.0
Ada VonRueden,748.0
Adah Cartwright,270.0
Adah Crona,230.0
Adah Harvey,313.0
Adah Klocko,204.0
Adah Kreiger,770.0
Adah Maggio,65.0
Adah Murray,756.0
Adah Swaniawski LLD,83.0
Adalberto Barton,494.0
Adalberto Batz,-5.0
Adalberto Daugherty,319.0
Adalberto Donnelly,47.0
Adalberto Fadel V,978.0
Adalberto Fahey,726.0
Adalberto Gleason,469.0
Adalberto Gleichner PhD,261.0
Adalberto Graham,732.0
Adalberto Haley,753.0
Adalberto Heaney,217.0
Adalberto Kiehn,361.0
Adalberto Koelpin,290.0
Adalberto Kub,723.0
Adalberto Lang DDS,191.0
Adalberto Lueilwitz,392.0
Adalberto Maggio,639.0
Adalberto Mitchell DDS,596.0
Adalberto Okuneva,-24.0
Adalberto Roberts III,-49.0
Adalberto Schaefer,-78.0
Adalberto Schumm,261.0
Adalberto Schuppe,234.0
Adalberto Turner,271.0
Adalberto Willms,436.0
Adalberto Wisoky,-44.0
Adalberto Wiza,520.0
Adaline Grimes III,74.0
Adaline Hansen,424.0
Adaline Kassulke,623.0
Adaline Murazik,856.0
Adaline Streich,95.0
Adaline Wiegand,40.0
Adaline Zulauf,756.0
Adam Altenwerth,11.0
Adam Anderson,96.0
Adam Bailey,103.0
Adam Bernhard DVM,392.0
Adam Blick,836.0
Adam Bogan,206.0
Adam Boyle CPA,19.0
Adam Connelly,212.0
Adam Cummerata,902.0
Adam Emard,722.0
Adam Fadel,805.0
Adam Fay,823.0
Adam Flatley,127.0
Adam Funk,324.0
Adam Graham,524.0
Adam Gutmann Jr.,557.0
Adam Hahn,190.0
Adam Hilll,203.0
Adam Hirthe,309.0
Adam Jerde,352.0
Adam Keebler,-48.0
Adam Kilback III,301.0
Adam Koss,896.0
Adam Krajcik,58.0
Adam Kris,559.0
Adam Kuhlman,59.0
Adam Lindgren,254.0
Adam Mayer LLD,700.0
Adam Pacocha Ret.,72.0
Adam Raynor,281.0
Adam Rippin DC,255.0
Adam Rowe,547.0
Adam Schaden,635.0
Adam Torphy,407.0
Adam Trantow,512.0
Adam Veum,234.0
Adam Welch,227.0
Adam Zboncak,62.0
Adam Zieme,310.0
Adan Beier,386.0
Adan Bins,108.0
Adan Brekke,110.0
Adan Christiansen,-36.0
Adan Conroy,665.0
Adan Cremin,210.0
Adan Gleason,-60.0
Adan Greenholt Jr.,380.0
Adan Grimes DDS,376.0
Adan Gulgowski,673.0
Adan Hand,976.0
Adan Hane,658.0
Adan Hartmann VM,30.0
Adan Harvey,400.0
Adan Hettinger,327.0
Adan Hoppe,845.0
Adan Howe,623.0
Adan Jacobi,165.0
Adan Kemmer,529.0
Adan Kub DC,629.0
Adan Kuhic,578.0
Adan Kuhic,482.0
Adan Kuvalis,629.0
Adan Kuvalis,46.0
Adan Labadie,872.0
Adan Mann LLD,363.0
Adan Marvin,682.0
Adan Pagac,-24.0
Adan Paucek,579.0
Adan Rowe,307.0
Adan Schiller,-60.0
Adan Schmeler,807.0
Adan Schulist,372.0
Adan Skiles,608.0
Adan Skiles,640.0
Adan Sporer,324.0
Adan Stark,159.0
Adan Stark,389.0
Adan Swift,74.0
Adan Wilderman,185.0
Addie Brekke,418.0
Addie Daniel,-2.0
Addie Friesen,22.0
Addie Hessel,117.0
Addie Kuvalis,-77.0
Addie Leffler,364.0
Addie Mueller,160.0
Addie Stark,510.0
Addie Swift,659.0
Addie Tillman,244.0
Addie Wilderman,368.0
Adela Bahringer,587.0
Adela Conn CPA,-20.0
Adela Cremin,326.0
Adela Koelpin,-28.0
Adela Lindgren,135.0
Adela McLaughlin,465.0
Adela Rempel,547.0
Adela Witting IV,-12.0
Adelaida Abshire,909.0
Adelaida Brakus PhD,849.0
Adelaida Homenick MD,759.0
Adelaida Kub,409.0
Adelaida Lakin,276.0
Adelaida Little,681.0
Adelaida McGlynn Sr.,471.0
Adelaida O'Connell,367.0
Adelaida Vandervort,68.0
Adelaide Abernathy,-16.0
Adelaide Abshire,802.0
Adelaide Ankunding,767.0
Adelaide Bins,270.0
Adelaide Grimes,846.0
Adelaide Heller,201.0
Adelaide Jerde,378.0
Adelaide Krajcik CPA,357.0
Adelaide Kub,546.0
Adelaide Kunde,651.0
Adelaide Mertz Jr.,312.0
Adelaide Mitchell,735.0
Adelaide Olson Sr.,834.0
Adelaide Runte,31.0
Adelaide Weimann,71.0
Adele Brekke,966.0
Adele Gusikowski,446.0
Adele Hane,456.0
Adele Hintz,-89.0
Adele Huels,124.0
Adele Jaskolski,581.0
Adele Konopelski,-44.0
Adele Nikolaus DDS,484.0
Adele Powlowski,-124.0
Adele Roob,816.0
Adele Towne,-43.0
Adelia Brown,-59.0
Adelia Champlin,267.0
Adelia Cummings DC,607.0
Adelia Huel,44.0
Adelia Kerluke,629.0
Adelia Kerluke MD,608.0
Adelia Labadie DO,62.0
Adelia Schuster,278.0
Adelia Shields,90.0
Adelia Williamson,425.0
Adelina Hammes Sr.,676.0
Adelina Kuphal,133.0
Adelina Lesch,321.0
Adelina Mayer,851.0
Adelina Nader,268.0
Adelina Paucek,730.0
Adelina Prosacco,257.0
Adelina Schamberger,516.0
Adelina Skiles,593.0
Adelina Sporer,53.0
Adeline Bartell,283.0
Adeline Bosco,662.0
Adeline Collier,174.0
Adeline Corkery,553.0
Adeline Dietrich,615.0
Adeline Hills,253.0
Adeline Hoeger Ret.,-14.0
Adeline Jacobson,185.0
Adeline Macejkovic Esq.,-92.0
Adeline Medhurst DC,451.0
Adeline Ruecker,244.0
Adeline Ullrich,43.0
Adeline Waelchi Ret.,131.0
Adell Braun,645.0
Adell Dickinson,782.0
Adell Hane,481.0
Adell Labadie,781.0
Adell Muller,-112.0
Adell Oberbrunner,383.0
Adell Spencer Esq.,427.0
Adell Spinka,324.0
Adella Anderson DDS,434.0
Adella Balistreri,544.0
Adella Blick DC,317.0
Adella Cassin,389.0
Adella Hudson,504.0
Adella McClure,5.0
Adella Reichel II,539.0
Adelle Hand,117.0
Adelle Hilpert,323.0
Adena Beatty,-114.0
Adena Fritsch,399.0
Adena Keeling,802.0
Adena Kerluke,524.0
Adena Kessler,83.0
Adena Rolfson,707.0
Adena Skiles,617.0
Adena Stokes,414.0
Adena West,44.0
Adina Dach,935.0
Adina Kihn DVM,682.0
Adina O'Keefe,879.0
Adina Prohaska,498.0
Adina Raynor,682.0
Adina Reichel,546.0
Adina Weissnat,-113.0
Adolfo Berge,903.0
Adolfo Block,66.0
Adolfo Botsford LLD,85.0
Adolfo Boyle,50.0
Adolfo Conn,198.0
Adolfo Conroy,105.0
Adolfo Crooks,363.0
Adolfo Daniel,-13.0
Adolfo Daugherty,616.0
Adolfo Dickens,586.0
Adolfo Douglas,498.0
Adolfo Ferry,789.0
Adolfo Funk,299.0
Adolfo Glover CPA,537.0
Adolfo Hagenes PhD,-10.0
Adolfo Harris,922.0
Adolfo Hettinger,498.0
Adolfo Howe Ret.,157.0
Adolfo Huels,-38.0
Adolfo Johnson,476.0
Adolfo Kautzer,-84.0
Adolfo Krajcik,343.0
Adolfo Krajcik,337.0
Adolfo Krajcik DO,699.0
Adolfo Kreiger,802.0
Adolfo Lehner,112.0
Adolfo Luettgen,43.0
Adolfo McGlynn,-10.0
Adolfo Metz,346.0
Adolfo Nitzsche Sr.,-11.0
Adolfo Ortiz Sr.,635.0
Adolfo Ratke CPA,705.0
Adolfo Schneider,456.0
Adolfo Schumm,286.0
Adolfo Smith PhD,-145.0
Adolfo Stehr,228.0
Adolfo Stiedemann,220.0
Adolfo Vandervort,516.0
Adolfo Watsica CPA,60.0
Adolph Bergstrom JD,318.0
Adolph Bins,541.0
Adolph Borer,400.0
Adolph Brekke III,291.0
Adolph Brown,523.0
Adolph Collier,617.0
Adolph Corwin,138.0
Adolph Cronin JD,95.0
Adolph Doyle,445.0
Adolph Erdman,349.0
Adolph Greenholt,268.0
Adolph Haag,241.0
Adolph Haag DC,-17.0
Adolph Hessel,72.0
Adolph Hoppe,124.0
Adolph Jast,194.0
Adolph Kreiger,26.0
Adolph Legros,91.0
Adolph McClure Esq.,717.0
Adolph Mills,463.0
Adolph Nikolaus,346.0
Adolph O'Connell,-84.0
Adolph Pfeffer,263.0
Adolph Pollich Sr.,86.0
Adolph Price MD,480.0
Adolph Prohaska CPA,820.0
Adolph Rath,-153.0
Adolph Ratke,377.0
Adolph Reinger,143.0
Adolph Roberts,297.0
Adolph Senger,94.0
Adolph Stracke,626.0
Adolph Strosin VM,143.0
Adolph Terry,65.0
Adolph Treutel,-3.0
Adolph Welch,637.0
Adria Block,129.0
Adria Bruen,39.0
Adria Crist Esq.,717.0
Adria Jerde,178.0
Adria Kshlerin,-27.0
Adria Langworth,-54.0
Adria Runolfsdottir,438.0
Adria Schaden,626.0
Adria Watsica III,47.0
Adrian Abernathy,-13.0
Adrian Adams,596.0
Adrian Armstrong,570.0
Adrian Batz,427.0
Adrian Bergstrom DO,141.0
Adrian Bogan,511.0
Adrian Carter,337.0
Adrian Cruickshank,744.0
Adrian Cruickshank,690.0
Adrian Cummings,691.0
Adrian Dare,855.0
Adrian Fahey,830.0
Adrian Fisher,324.0
Adrian Flatley,56.0
Adrian Gerlach,648.0
Adrian Gibson,248.0
Adrian Goldner,273.0
Adrian Hahn,602.0
Adrian Haley,832.0
Adrian Hamill,134.0
Adrian Hansen,300.0
Adrian Harber,271.0
Adrian Hickle,-49.0
Adrian Huel,325.0
Adrian Jakubowski,814.0
Adrian Jerde,203.0
Adrian Kiehn,84.0
Adrian Kovacek III,280.0
Adrian Kris,275.0
Adrian Kuhlman,867.0
Adrian Marks,714.0
Adrian Marvin,67.0
Adrian Medhurst,145.0
Adrian Mraz,706.0
Adrian Nikolaus,564.0
Adrian Oberbrunner MD,-42.0
Adrian Prosacco,-168.0
Adrian Purdy,400.0
Adrian Quitzon,173.0
Adrian Reichel DDS,726.0
Adrian Ritchie,39.0
Adrian Rodriguez,739.0
Adrian Ruecker,198.0
Adrian Schiller,262.0
Adrian Schoen,779.0
Adrian Schuster,183.0
Adrian Shanahan,-76.0
Adrian Will DO,32.0
Adrian Wisoky Jr.,64.0
Adrian Wolf,-64.0
Adriana Blanda VM,228.0
Adriana Bogan,447.0
Adriana Haag LLD,922.0
Adriana Hagenes,826.0
Adriana Jacobson I,789.0
Adriana Koepp,160.0
Adriana Lowe,251.0
Adriana Romaguera CPA,452.0
Adriana Sauer,789.0
Adriana Streich,307.0
Adriana Thiel,196.0
Adriana Wisozk,439.0
Adriane Bogisich,493.0
Adriane Emard CPA,479.0
Adriane Kautzer,159.0
Adriane Moen,-1.0
Adriane Wiza,845.0
Adrianna Buckridge,194.0
Adrianna Crist,628.0
Adrianna Hayes DDS,494.0
Adrianna Hickle,376.0
Adrianna Reichert Sr.,174.0
Adrianna Ritchie,-144.0
Adrianna Schinner,469.0
Adrianna Treutel,-172.0
Adrianna Waelchi,663.0
Adrianne Abernathy,771.0
Adrianne Deckow,800.0
Adrianne Hand,24.0
Adrianne Paucek,-82.0
Adrianne Ratke,105.0
Adrianne Rohan,787.0
Adrianne Schaden,322.0
Adrianne Wisoky,684.0
Adrien Bernhard JD,714.0
Adrien D'Amore,235.0
Adrien Deckow,213.0
Adrien Friesen,64.0
Adrien Glover,177.0
Adrien Hayes,706.0
Adrien Howell DDS,422.0
Adrien Kling,478.0
Adrien Romaguera,309.0
Adrien Ryan,252.0
Adrien Schinner,261.0
Adrien Wyman,261.0
Adriene Adams,793.0
Adriene Cole,474.0
Adriene D'Amore,510.0
Adriene Homenick,108.0
Adriene Morar,-18.0
Adriene Morissette,314.0
Adriene Murray,298.0
Adriene Price,564.0
Adriene Reichel DDS,-16.0
Adriene Turcotte,651.0
Adriene Wisoky Ret.,296.0
Adrienne Bins,591.0
Adrienne Bogisich,893.0
Adrienne Considine,499.0
Adrienne Dickinson PhD,939.0
Adrienne Gislason,239.0
Adrienne Kautzer II,708.0
Adrienne Littel,678.0
Adrienne Moore,96.0
Adrienne Powlowski,199.0
Adrienne Schuster,722.0
Adrienne West,449.0
Adrienne Wyman,204.0
Afton Altenwerth,846.0
Afton Cummerata,588.0
Afton Jacobson DDS,330.0
Afton Pollich,936.0
Afton Smith MD,147.0
Afton Towne,572.0
Afton Weimann,678.0
Afton Yost,827.0
Agatha Boyle,773.0
Agatha Hoeger,8.0
Agatha Kertzmann,112.0
Agatha Kovacek,420.0
Agatha Kuhn,884.0
Agatha Kuvalis,484.0
Agatha Ratke,630.0
Agatha Tillman IV,-31.0
Agatha White,435.0
Agatha Witting,580.0
Agatha Yost,83.0
Agnes Baumbach MD,218.0
Agnes Block,462.0
Agnes Bogan,40.0
Agnes Heidenreich IV,162.0
Agnes Hessel Sr.,152.0
Agnes Monahan,702.0
Agnes Oberbrunner,369.0
Agnes Satterfield,398.0
Agnes Simonis,778.0
Agnus Emard,557.0
Agnus Haley PhD,845.0
Agnus Hyatt,832.0
Agnus Lubowitz,317.0
Agnus Mueller,806.0
Agnus Nicolas,423.0
Agnus Pacocha,926.0
Agnus Pfannerstill Sr.,329.0
Agnus Predovic,316.0
Agnus Stoltenberg,701.0
Agnus Swaniawski,-156.0
Agnus Windler,414.0
Agripina Bechtelar,194.0
Agripina Bernhard MD,315.0
Agripina Cartwright I,76.0
Agripina Daniel,637.0
Agripina Davis,22.0
Agripina Dooley,569.0
Agripina Haley PhD,514.0
Agripina Jacobi,489.0
Agripina Johns,490.0
Agripina Schmeler,-162.0
Agripina Stokes,859.0
Agueda Feest,838.0
Agueda Graham,91.0
Agueda Greenholt,932.0
Agueda Hartmann IV,7.0
Agueda Hessel,0.0
Agueda Schiller,423.0
Agueda Wilkinson,626.0
Agueda Wolff II,158.0
Agustin Abbott,212.0
Agustin Bahringer,315.0
Agustin Bernier,-77.0
Agustin Blanda,661.0
Agustin Blanda LLD,77.0
Agustin Borer,457.0
Agustin Christiansen,227.0
Agustin Collins,14.0
Agustin Conn III,674.0
Agustin Considine IV,110.0
Agustin Denesik,509.0
Agustin Durgan VM,712.0
Agustin Fay I,124.0
Agustin Goodwin LLD,167.0
Agustin Gottlieb,486.0
Agustin Goyette IV,859.0
Agustin Hegmann,748.0
Agustin Hodkiewicz,334.0
Agustin Huel,553.0
Agustin Jast Ret.,553.0
Agustin Kling DC,648.0
Agustin Kovacek,551.0
Agustin Lang,445.0
Agustin Lang MD,599.0
Agustin Larson IV,806.0
Agustin Marvin,-33.0
Agustin Moore,776.0
Agustin O'Connell,-38.0
Agustin Ondricka,826.0
Agustin Ortiz,377.0
Agustin Osinski,401.0
Agustin Padberg,951.0
Agustin Quigley,688.0
Agustin Rath CPA,701.0
Agustin Reichert,422.0
Agustin Reinger,620.0
Agustin Robel,556.0
Agustin Russel,146.0
Agustin Schiller,799.0
Agustin Schmeler,-126.0
Agustin Schultz,118.0
Agustin Spencer,24.0
Agustin Stanton,582.0
Agustin Will Ret.,617.0
Agustin Zboncak,393.0
Agustina Fadel,-41.0
Agustina Fisher,817.0
Agustina Franecki DDS,-66.0
Agustina Homenick,793.0
Agustina Hudson,481.0
Agustina Mayer,83.0
Agustina Mueller,-78.0
Agustina Pfeffer,-55.0
Agustina Pollich,620.0
Agustina Schuppe,48.0
Agustina Walker,12.0
Ahmad Ankunding,672.0
Ahmad Bartell,679.0
Ahmad Bode,223.0
Ahmad Cartwright,-130.0
Ahmad Dicki,882.0
Ahmad Dietrich DC,-101.0
Ahmad Dooley,799.0
Ahmad Feil,248.0
Ahmad Friesen,23.0
Ahmad Glover,195.0
Ahmad Gottlieb,835.0
Ahmad Heathcote,42.0
Ahmad Hettinger Ret.,742.0
Ahmad Hyatt,619.0
Ahmad Klocko CPA,139.0
Ahmad Koss,772.0
Ahmad Koss,71.0
Ahmad Krajcik,683.0
Ahmad Kunze,219.0
Ahmad Kuphal,503.0
Ahmad Kutch,418.0
Ahmad Littel,198.0
Ahmad MacGyver,320.0
Ahmad MacGyver,-57.0
Ahmad Macejkovic,768.0
Ahmad Macejkovic,726.0
Ahmad Maggio,218.0
Ahmad Marquardt,737.0
Ahmad Metz,615.0
Ahmad Mosciski,-27.0
Ahmad Murphy,203.0
Ahmad Paucek,-134.0
Ahmad Rath,-36.0
Ahmad Roob Ret.,839.0
Ahmad Shanahan Sr.,-9.0
Ahmad Stanton II,20.0
Ahmad Stanton PhD,883.0
Ahmad Steuber,853.0
Ahmad Swift,681.0
Ahmad Waelchi V,123.0
Ahmad Walsh,839.0
Ahmad Wilderman,808.0
Ahmad Wintheiser VM,325.0
Ahmad Witting,454.0
Ahmad Zboncak,358.0
Ahmad Zboncak,572.0
Ahmed Baumbach,544.0
Ahmed Bosco MD,252.0
Ahmed Boyer,527.0
Ahmed Ebert,778.0
Ahmed Haag V,521.0
Ahmed Hartmann DDS,-27.0
Ahmed Heller II,814.0
Ahmed Hickle,142.0
Ahmed Howe,623.0
Ahmed Hyatt,596.0
Ahmed Hyatt,71.0
Ahmed Kerluke,542.0
Ahmed Kerluke DC,263.0
Ahmed Kerluke Sr.,491.0
Ahmed Kris,871.0
Ahmed MacGyver Ret.,718.0
Ahmed Marks,372.0
Ahmed Mitchell,700.0
Ahmed Murazik,290.0
Ahmed Purdy,316.0
Ahmed Rice,183.0
Ahmed Ritchie,573.0
Ahmed Rosenbaum,156.0
Ahmed Ruecker,111.0
Ahmed Runolfsson,-38.0
Ahmed Senger,264.0
Ahmed Swaniawski,115.0
Ahmed Veum,373.0
Ahmed Von,352.0
Ahmed Wisozk,354.0
Ahmed Wuckert,266.0
Ahmed Zieme,243.0
Ai Beatty,250.0
Ai Gutmann,744.0
Ai Hermann,454.0
Ai Hermiston,765.0
Ai Herzog,-29.0
Ai Jast,66.0
Ai Koepp,125.0
Ai Kris,170.0
Ai McClure,942.0
Ai Monahan,664.0
Ai Murphy,465.0
Ai O'Connell,240.0
Ai O'Reilly,221.0
Ai Quigley,553.0
Ai Rippin,260.0
Ai Rohan,404.0
Ai Sauer,735.0
Aida Blick,784.0
Aida Botsford MD,556.0
Aida Cronin,547.0
Aida Cummings,311.0
Aida Cummings MD,350.0
Aida Green JD,844.0
Aida Murazik,132.0
Aida Roob,778.0
Aida Rutherford Sr.,852.0
Aida Schroeder,479.0
Aida Ullrich,-33.0
Aide Abshire,584.0
Aide Bernhard,858.0
Aide Boyer,594.0
Aide Dietrich,13.0
Aide Doyle III,185.0
Aide Hackett,856.0
Aide Hansen Esq.,945.0
Aide Heaney,243.0
Aide Hyatt,477.0
Aide Kshlerin,77.0
Aide Schaefer IV,440.0
Aide Shanahan,228.0
Aide Trantow,213.0
Aide VonRueden,891.0
Aiko Brown,770.0
Aiko Effertz,679.0
Aiko Heathcote,289.0
Aiko Jenkins,11.0
Aiko Kemmer,703.0
Aiko Langosh,603.0
Aiko Nienow,-18.0
Aiko Ratke,781.0
Aiko Stehr,792.0
Aiko Terry Sr.,174.0
Aileen Bahringer,541.0
Aileen Bashirian,6.0
Aileen Bauch,522.0
Aileen Franecki,824.0
Aileen Friesen,126.0
Aileen Hahn,767.0
Aileen Jakubowski,131.0
Aileen Leuschke Jr.,267.0
Aileen Lueilwitz,179.0
Aileen Rice,64.0
Aileen Rosenbaum,399.0
Aileen Schiller,193.0
Aileen Toy,206.0
Aileen Upton,325.0
Aileen Weissnat,119.0
Aileen Wilderman,456.0
Ailene Block,473.0
Ailene Borer,405.0
Ailene Dickens,573.0
Ailene Gerhold,154.0
Ailene Nienow,774.0
Ailene Spencer JD,464.0
Ailene Swift,12.0
Aimee Cole,231.0
Aimee Gutkowski,703.0
Aimee Hansen,399.0
Aimee Keeling,775.0
Aimee Labadie,242.0
Aimee Monahan,559.0
Aimee Schinner,188.0
Aimee Schmeler,149.0
Aimee Steuber,368.0
Aimee Weber DO,-117.0
Aisha Bogisich IV,808.0
Aisha Dooley,624.0
Aisha Flatley,-85.0
Aisha Grant,522.0
Aisha Grant,679.0
Aisha Grimes,453.0
Aisha Kertzmann,461.0
Aisha McDermott Jr.,-46.0
Aisha Medhurst Sr.,60.0
Aisha Rippin,-73.0
Aisha Schneider,563.0
Aisha Tromp,647.0
Aja Abbott,119.0
Aja Boehm,887.0
Aja Conroy,838.0
Aja Marquardt,685.0
Aja Mayert CPA,691.0
Aja Pagac,696.0
Aja Quitzon,48.0
Aja Ruecker,659.0
Aja Schiller,801.0
Aja Senger,133.0
Aja Stoltenberg,-56.0
Aja Swift,142.0
Aja Treutel,512.0
Aja Witting,217.0
Akiko Altenwerth,828.0
Akiko Barton,537.0
Akiko Cartwright,885.0
Akiko Greenfelder,477.0
Akiko Hackett,702.0
Akiko Harber,813.0
Akiko Hudson,835.0
Akiko Kihn,422.0
Akiko McGlynn,452.0
Akiko Stanton,635.0
Akilah Balistreri,5.0
Akilah Bins,182.0
Akilah Grant,-30.0
Akilah Legros,726.0
Akilah Murphy,683.0
Akilah Ortiz,376.0
Akilah Reilly,219.0
Akilah Roob,112.0
Akilah Schmidt MD,-63.0
Al Bahringer,548.0
Al Bailey LLD,230.0
Al Bayer LLD,555.0
Al Bins,606.0
Al Block,458.0
Al Bode,1.0
